,Frame ID,QR ID,QR 2D (Corner Points),Distance,Yaw (degrees),Pitch (degrees),Roll (degrees)
124,468,7,"[[472.0, 271.0], [472.0, 260.0], [482.0, 259.0], [483.0, 271.0]]",3.287980962815142,-91.66972633113816,3.5860538389970364,166.0753206903115
125,468,5,"[[778.0, 22.0], [819.0, 18.0], [820.0, 59.0], [779.0, 63.0]]",1.010733108361618,-1.6165904767980213,9.37869444448518,-176.8537959170416
126,469,4,"[[562.0, 202.0], [575.0, 200.0], [576.0, 216.0], [563.0, 216.0]]",2.534669021382713,0.8727400825678844,23.224450928455056,-170.142254255887
127,470,4,"[[504.0, 212.0], [517.0, 211.0], [519.0, 225.0], [504.0, 226.0]]",2.677821666968564,-4.165770016652971,0.0515126164466251,178.95555927277798
128,471,4,"[[498.0, 209.0], [512.0, 208.0], [513.0, 222.0], [498.0, 223.0]]",2.584736123082568,-3.713175522116252,1.2101000594009914,171.55302579205568
129,475,4,"[[527.0, 205.0], [542.0, 205.0], [542.0, 221.0], [527.0, 221.0]]",2.384449442350042,2.2541210663985924,11.032511690309711,-173.27304124692847
130,476,4,"[[535.0, 218.0], [550.0, 217.0], [551.0, 233.0], [535.0, 234.0]]",2.328194496720115,-1.996528919690348,8.937040197767288,179.12433091642075
131,478,7,"[[408.0, 291.0], [408.0, 278.0], [421.0, 277.0], [422.0, 291.0]]",2.832324263314196,-92.15109855400507,-0.3421527204772671,179.6340504870049
132,478,4,"[[507.0, 219.0], [523.0, 219.0], [522.0, 236.0], [506.0, 236.0]]",2.189320133062775,2.459354219548745,13.263546566754997,177.77814625339542
133,479,7,"[[396.0, 289.0], [396.0, 276.0], [409.0, 275.0], [410.0, 289.0]]",2.846597650000668,-92.15046623436676,-0.3114778224437627,179.66652063111874
134,479,4,"[[494.0, 215.0], [511.0, 215.0], [512.0, 231.0], [495.0, 232.0]]",2.3140394647516835,-3.43631717319448,-9.620698180461078,-164.08488691254328
135,480,4,"[[479.0, 232.0], [496.0, 232.0], [496.0, 249.0], [479.0, 250.0]]",2.142519154346305,-7.232221332594408,-29.62924883938081,-157.7495363617444
136,480,7,"[[380.0, 310.0], [379.0, 297.0], [393.0, 295.0], [394.0, 309.0]]",2.788446341376614,-96.7914807891672,-7.516839006311799,-177.34228807240615
137,481,4,"[[476.0, 238.0], [493.0, 236.0], [494.0, 254.0], [476.0, 255.0]]",2.088464405487073,-3.902959040561812,6.008078781522243,172.59709493011687
138,482,4,"[[467.0, 193.0], [485.0, 192.0], [486.0, 210.0], [468.0, 212.0]]",2.0528425791545697,-12.028406912036724,-28.264227715211923,-150.99046661261104
139,483,7,"[[356.0, 279.0], [356.0, 265.0], [371.0, 265.0], [371.0, 280.0]]",2.716200595420079,-88.32050070952342,4.372569855225123,-173.1434288186661
140,483,4,"[[462.0, 202.0], [480.0, 202.0], [480.0, 221.0], [462.0, 221.0]]",2.031335879329112,1.5898964055218792,7.752036454836606,-175.65020623747597
141,484,7,"[[360.0, 294.0], [359.0, 278.0], [374.0, 278.0], [375.0, 293.0]]",2.5307158452383187,-90.90719542431418,7.524614063539687,-135.36455696973596
142,484,4,"[[467.0, 214.0], [485.0, 214.0], [485.0, 233.0], [467.0, 234.0]]",1.95617523829044,-9.75597313268101,-36.32938319620008,-157.1496853874691
143,484,10,"[[899.0, 213.0], [912.0, 210.0], [912.0, 251.0], [898.0, 252.0]]",0.99643663957393,98.6471924064058,82.78019700736566,-79.5438814388399
144,485,7,"[[341.0, 324.0], [340.0, 308.0], [356.0, 308.0], [356.0, 323.0]]",2.5318012144919364,-88.85482461640554,7.401495396102287,-136.19831213685578
145,485,4,"[[449.0, 242.0], [468.0, 241.0], [469.0, 261.0], [450.0, 261.0]]",1.9624842105026168,-0.9542699634765008,3.627821583753503,-173.53340072553576
146,485,10,"[[901.0, 235.0], [916.0, 232.0], [916.0, 275.0], [901.0, 276.0]]",0.9417653700070078,93.71152702003694,84.47054389382104,-84.27761840430044
147,486,4,"[[426.0, 206.0], [446.0, 207.0], [445.0, 227.0], [425.0, 227.0]]",1.86825394753035,-6.4359622821259,-35.826727773532525,-154.88374122352903
148,486,7,"[[311.0, 289.0], [312.0, 273.0], [327.0, 273.0], [326.0, 290.0]]",2.4146321892598497,-86.96035830270222,-0.9715489268388844,169.80700628909906
149,486,10,"[[907.0, 211.0], [924.0, 208.0], [923.0, 254.0], [905.0, 256.0]]",0.8806759748286981,82.19318746260306,83.13710469202074,-97.0804401474248
150,487,7,"[[307.0, 299.0], [306.0, 284.0], [321.0, 282.0], [323.0, 299.0]]",2.505243440243932,-93.54579969744825,4.042082382729149,176.37648545077963
151,487,10,"[[907.0, 220.0], [925.0, 216.0], [924.0, 264.0], [906.0, 264.0]]",0.8667700710179777,80.09632062750815,83.11085892378514,-98.5155283947766
152,487,4,"[[421.0, 216.0], [441.0, 215.0], [441.0, 236.0], [421.0, 236.0]]",1.8678199281988623,-0.4588937998173917,5.174689222715971,178.72797516556292
153,488,4,"[[456.0, 260.0], [478.0, 261.0], [478.0, 282.0], [457.0, 282.0]]",1.758737780318914,-1.990890375083444,-26.099067215038414,-176.94273290037603
154,488,7,"[[340.0, 350.0], [339.0, 333.0], [355.0, 332.0], [357.0, 349.0]]",2.303808468946732,-93.5614971646848,3.620800496417824,176.0202836112458
