Frame ID,QR ID,QR 2D (Corner Points),Distance,Yaw (degrees),Pitch (degrees),Roll (degrees)
0,0,"[[368.0, 278.0], [398.0, 279.0], [399.0, 309.0], [369.0, 308.0]]",1.2906079992517272,1.9057282902050048,0.0977218608170363,-169.28621232461427
1,0,"[[368.0, 278.0], [398.0, 279.0], [399.0, 309.0], [369.0, 308.0]]",1.2906079992517272,1.9057282902050048,0.0977218608170363,-169.28621232461427
2,0,"[[368.0, 278.0], [398.0, 279.0], [399.0, 309.0], [369.0, 308.0]]",1.2906079992517272,1.9057282902050048,0.0977218608170363,-169.28621232461427
3,0,"[[368.0, 278.0], [398.0, 279.0], [399.0, 309.0], [369.0, 308.0]]",1.2906079992517272,1.9057282902050048,0.0977218608170363,-169.28621232461427
4,0,"[[368.0, 278.0], [398.0, 279.0], [399.0, 309.0], [369.0, 308.0]]",1.2906079992517272,1.9057282902050048,0.0977218608170363,-169.28621232461427
5,0,"[[368.0, 278.0], [398.0, 279.0], [399.0, 309.0], [369.0, 308.0]]",1.2906079992517272,1.9057282902050048,0.0977218608170363,-169.28621232461427
6,0,"[[368.0, 278.0], [398.0, 279.0], [399.0, 309.0], [369.0, 308.0]]",1.2906079992517272,1.9057282902050048,0.0977218608170363,-169.28621232461427
7,0,"[[368.0, 278.0], [398.0, 279.0], [399.0, 309.0], [369.0, 308.0]]",1.2906079992517272,1.9057282902050048,0.0977218608170363,-169.28621232461427
8,0,"[[368.0, 278.0], [398.0, 279.0], [399.0, 309.0], [369.0, 308.0]]",1.2906079992517272,1.9057282902050048,0.0977218608170363,-169.28621232461427
9,0,"[[368.0, 278.0], [398.0, 279.0], [399.0, 309.0], [369.0, 308.0]]",1.2906079992517272,1.9057282902050048,0.0977218608170363,-169.28621232461427
10,0,"[[368.0, 278.0], [398.0, 279.0], [399.0, 309.0], [369.0, 308.0]]",1.2906079992517272,1.9057282902050048,0.0977218608170363,-169.28621232461427
11,0,"[[368.0, 278.0], [398.0, 279.0], [399.0, 309.0], [369.0, 308.0]]",1.2906079992517272,1.9057282902050048,0.0977218608170363,-169.28621232461427
12,0,"[[368.0, 278.0], [398.0, 279.0], [399.0, 309.0], [369.0, 308.0]]",1.2906079992517272,1.9057282902050048,0.0977218608170363,-169.28621232461427
13,0,"[[368.0, 278.0], [398.0, 279.0], [399.0, 309.0], [369.0, 308.0]]",1.2906079992517272,1.9057282902050048,0.0977218608170363,-169.28621232461427
14,0,"[[368.0, 278.0], [398.0, 279.0], [399.0, 309.0], [369.0, 308.0]]",1.2906079992517272,1.9057282902050048,0.0977218608170363,-169.28621232461427
15,0,"[[368.0, 278.0], [398.0, 279.0], [399.0, 309.0], [369.0, 308.0]]",1.2906079992517272,1.9057282902050048,0.0977218608170363,-169.28621232461427
16,0,"[[368.0, 278.0], [398.0, 279.0], [399.0, 309.0], [369.0, 308.0]]",1.2906079992517272,1.9057282902050048,0.0977218608170363,-169.28621232461427
17,0,"[[369.0, 277.0], [398.0, 279.0], [398.0, 309.0], [368.0, 307.0]]",1.2939134597650872,3.960939269131879,2.025004488386381,-172.46270075726005
18,0,"[[369.0, 277.0], [398.0, 279.0], [398.0, 309.0], [368.0, 307.0]]",1.2939134597650872,3.960939269131879,2.025004488386381,-172.46270075726005
19,0,"[[369.0, 277.0], [398.0, 279.0], [398.0, 309.0], [368.0, 307.0]]",1.2939134597650872,3.960939269131879,2.025004488386381,-172.46270075726005
20,0,"[[368.0, 278.0], [398.0, 279.0], [398.0, 309.0], [368.0, 307.0]]",1.313888045779659,2.647037991406638,-2.9011891691313423,-171.30452259470633
21,0,"[[368.0, 278.0], [398.0, 279.0], [398.0, 309.0], [368.0, 307.0]]",1.313888045779659,2.647037991406638,-2.9011891691313423,-171.30452259470633
22,0,"[[368.0, 278.0], [398.0, 279.0], [398.0, 309.0], [368.0, 307.0]]",1.313888045779659,2.647037991406638,-2.9011891691313423,-171.30452259470633
