Frame ID,QR ID,QR 2D (Corner Points),Distance,Yaw (degrees),Pitch (degrees),Roll (degrees)
273,0,"[[408.0, 63.0], [467.0, 59.0], [472.0, 119.0], [415.0, 123.0]]",0.6918374569250173,-4.113237957991475,-0.5867103465143182,-172.6979980460919
274,0,"[[412.0, 31.0], [470.0, 27.0], [473.0, 86.0], [415.0, 90.0]]",0.6901929906588833,-2.7888960503449343,2.6627533056634465,-179.56706243482844
287,0,"[[228.0, 27.0], [288.0, 23.0], [294.0, 83.0], [236.0, 87.0]]",0.7505250707879085,-4.553087396976726,-1.5850688794453838,-175.13636321204163
288,0,"[[122.0, 12.0], [187.0, 8.0], [195.0, 68.0], [131.0, 74.0]]",0.7620590795651929,-7.4667764982089855,-6.279707860216366,-178.93240660649352
308,0,"[[681.0, 56.0], [746.0, 55.0], [745.0, 118.0], [681.0, 117.0]]",0.6084217829102004,0.8072580770445221,2.3587870299401796,175.35134135100483
309,0,"[[812.0, 35.0], [883.0, 32.0], [877.0, 99.0], [807.0, 101.0]]",0.5964614396440584,4.597109366904501,16.336363433773172,177.5252133673263
316,1,"[[615.0, 84.0], [640.0, 88.0], [637.0, 114.0], [611.0, 112.0]]",1.4829713807752805,1.656078267278686,-14.044266166981167,-150.55003925444933
317,1,"[[672.0, 99.0], [698.0, 103.0], [694.0, 129.0], [669.0, 126.0]]",1.4929698236474829,8.664219090988498,2.631955391176743,-149.48946170790316
318,1,"[[702.0, 120.0], [727.0, 122.0], [724.0, 149.0], [698.0, 146.0]]",1.487111744650986,8.651794432787865,9.88035421117933,-171.2274659688298
319,1,"[[705.0, 120.0], [732.0, 123.0], [728.0, 151.0], [702.0, 151.0]]",1.3429901457408668,-2.1420889997931174,-16.602166071068336,-155.85629096530008
320,1,"[[712.0, 116.0], [740.0, 118.0], [736.0, 147.0], [708.0, 144.0]]",1.3624498135056085,8.536941091082419,10.682200711887871,-175.75352770709821
321,1,"[[737.0, 115.0], [765.0, 116.0], [762.0, 145.0], [735.0, 143.0]]",1.4075240471046835,6.984214715188636,11.416450582210427,-154.66082983896453
322,1,"[[752.0, 111.0], [781.0, 113.0], [778.0, 142.0], [750.0, 141.0]]",1.3653868430769553,3.435314193485822,1.2467694734204344,-168.76057345772617
323,1,"[[725.0, 92.0], [752.0, 93.0], [750.0, 123.0], [721.0, 123.0]]",1.3947012562756238,1.722600637678293,-1.1230093525933378,-157.10304080688863
324,1,"[[688.0, 106.0], [714.0, 107.0], [712.0, 136.0], [684.0, 136.0]]",1.3460528630244781,-3.8747240429519687,-14.892398689728504,-150.901559113451
325,1,"[[658.0, 88.0], [686.0, 90.0], [684.0, 121.0], [656.0, 119.0]]",1.3178778378687708,-1.2639569854604489,-14.82764878196911,-162.55663022307772
326,1,"[[657.0, 92.0], [686.0, 94.0], [683.0, 124.0], [654.0, 123.0]]",1.3035966269500252,-0.4200835197501933,-9.629572711268294,-148.67019448137768
327,1,"[[669.0, 80.0], [699.0, 82.0], [696.0, 114.0], [667.0, 113.0]]",1.263435202093698,-1.9372021173608516,-13.006478105959143,-156.3451663315177
328,1,"[[663.0, 75.0], [694.0, 77.0], [691.0, 109.0], [661.0, 108.0]]",1.2589367979519228,0.35649538514487444,-6.4496485705690585,-151.85045271977648
329,1,"[[643.0, 73.0], [674.0, 76.0], [671.0, 109.0], [640.0, 107.0]]",1.2273950061131917,0.6437953645662755,-10.672994620150936,-156.07340957516354
330,1,"[[664.0, 73.0], [696.0, 76.0], [693.0, 108.0], [661.0, 107.0]]",1.210342485371333,2.293447222692611,-3.2532413515893253,-145.01840432789257
331,1,"[[676.0, 75.0], [709.0, 78.0], [704.0, 113.0], [673.0, 111.0]]",1.155708447269452,-0.986214851034517,-14.234475737631413,-154.27285144236868
332,1,"[[674.0, 83.0], [707.0, 85.0], [704.0, 121.0], [671.0, 119.0]]",1.152791827625945,7.782652510671758,11.988564299032971,-163.16502983304466
333,1,"[[663.0, 73.0], [697.0, 75.0], [695.0, 112.0], [660.0, 110.0]]",1.1167728094245872,2.109227824518699,-3.723111732478513,-163.58652104641158
334,1,"[[648.0, 99.0], [684.0, 100.0], [682.0, 139.0], [647.0, 138.0]]",1.0367872263532674,-3.2276820781320357,-14.180920393524152,-160.26892386847882
335,1,"[[676.0, 98.0], [714.0, 99.0], [712.0, 137.0], [674.0, 137.0]]",1.0128181532300353,3.0476188028660696,6.598374257261164,-177.37008122276265
336,1,"[[676.0, 98.0], [714.0, 99.0], [712.0, 137.0], [674.0, 137.0]]",1.0128181532300353,3.0476188028660696,6.598374257261164,-177.37008122276265
337,1,"[[703.0, 120.0], [742.0, 124.0], [739.0, 165.0], [700.0, 163.0]]",0.9414437522222381,0.9807417111472839,-11.224560870763016,-169.30306865893343
338,1,"[[713.0, 117.0], [755.0, 120.0], [752.0, 163.0], [710.0, 161.0]]",0.9065231209125499,2.748834505787259,-2.372196016177416,-172.41957391680418
339,1,"[[732.0, 109.0], [777.0, 111.0], [773.0, 157.0], [730.0, 155.0]]",0.8707108183556586,7.872569424552788,15.991559304553402,-153.532654006075
340,1,"[[732.0, 122.0], [777.0, 124.0], [774.0, 171.0], [730.0, 169.0]]",0.8444248659036271,0.7976000219466027,-5.749296876510574,-170.5032760901503
