Frame ID,QR ID,QR 2D (Corner Points),Distance,Yaw (degrees),Pitch (degrees),Roll (degrees)
0,0,"[[448.0, 50.0], [964.0, 38.0], [983.0, 556.0], [458.0, 563.0]]",0.07083855406889657,-1.2226818315755754,0.7305614337480922,178.31408481519654
1,0,"[[448.0, 50.0], [964.0, 38.0], [983.0, 556.0], [458.0, 563.0]]",0.07083855406889657,-1.2226818315755754,0.7305614337480922,178.31408481519654
2,0,"[[448.0, 50.0], [964.0, 38.0], [983.0, 556.0], [458.0, 563.0]]",0.07083855406889657,-1.2226818315755754,0.7305614337480922,178.31408481519654
3,0,"[[448.0, 50.0], [964.0, 38.0], [983.0, 556.0], [458.0, 563.0]]",0.07083855406889657,-1.2226818315755754,0.7305614337480922,178.31408481519654
4,0,"[[448.0, 50.0], [964.0, 38.0], [983.0, 556.0], [458.0, 563.0]]",0.07083855406889657,-1.2226818315755754,0.7305614337480922,178.31408481519654
5,0,"[[448.0, 50.0], [964.0, 38.0], [983.0, 556.0], [458.0, 563.0]]",0.07083855406889657,-1.2226818315755754,0.7305614337480922,178.31408481519654
6,0,"[[448.0, 50.0], [964.0, 38.0], [983.0, 556.0], [458.0, 563.0]]",0.07083855406889657,-1.2226818315755754,0.7305614337480922,178.31408481519654
7,0,"[[448.0, 50.0], [964.0, 38.0], [983.0, 556.0], [458.0, 563.0]]",0.07083855406889657,-1.2226818315755754,0.7305614337480922,178.31408481519654
8,0,"[[448.0, 50.0], [964.0, 38.0], [983.0, 556.0], [458.0, 563.0]]",0.07083855406889657,-1.2226818315755754,0.7305614337480922,178.31408481519654
9,0,"[[448.0, 50.0], [964.0, 38.0], [983.0, 556.0], [458.0, 563.0]]",0.07083855406889657,-1.2226818315755754,0.7305614337480922,178.31408481519654
10,0,"[[448.0, 50.0], [964.0, 38.0], [983.0, 556.0], [458.0, 563.0]]",0.07083855406889657,-1.2226818315755754,0.7305614337480922,178.31408481519654
